ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
ILMN_1353746	0.00000362	0.000000891	-7.606022	5.041941	-0.59727545		
ILMN_1364742	0.00000363	0.000000894	-7.60452	5.03927	-0.88361722	Fchsd2	FCH and double SH3 domains 2
ILMN_1367016	0.00000365	0.000000898	-7.601906	5.034621	-1.2451699	Ubl3	ubiquitin-like 3
ILMN_1367103	0.00000365	0.0000009	-7.600582	5.032264	-1.5764838	Adamts1	ADAM metallopeptidase with thrombospondin type 1 motif, 1
ILMN_1366474	0.00000366	0.0000009	7.600093	5.031396	0.4526501		
ILMN_1355767	0.00000366	0.000000903	-7.598659	5.028844	-0.52951801		
ILMN_1371225	0.00000366	0.000000903	-7.598607	5.028751	-0.54796342	Reep6	receptor accessory protein 6
ILMN_1361788	0.00000367	0.000000904	7.59752	5.026816	0.62501698	Col6a4	collagen, type VI, alpha 4
ILMN_1373682	0.00000369	0.000000908	-7.594921	5.022191	-1.59899622	Tgfb2	transforming growth factor, beta 2
ILMN_1375236	0.00000369	0.000000909	-7.59459	5.021602	-0.49137566		
ILMN_1356140	0.00000369	0.000000909	-7.594227	5.020956	-0.53115583		
ILMN_1650857	0.00000372	0.000000918	7.589033	5.011709	0.31904639	Olr1693	olfactory receptor 1693
ILMN_1348800	0.00000373	0.00000092	-7.587488	5.008958	-0.90605817	Emilin1	elastin microfibril interfacer 1
ILMN_1370802	0.00000374	0.000000922	-7.586294	5.006831	-0.90558652		
ILMN_1650219	0.00000375	0.000000926	7.583607	5.002047	0.36228801	Brs3	bombesin receptor subtype 3
ILMN_1354834	0.00000377	0.000000931	-7.580302	4.996159	-0.44116068	Cacnb3	calcium voltage-gated channel auxiliary subunit beta 3
ILMN_1349497	0.00000379	0.000000935	-7.577892	4.991863	-0.46684807	Rpf1	ribosome production factor 1 homolog
ILMN_1371994	0.0000038	0.000000937	-7.576771	4.989866	-0.45107242	Traf7	TNF receptor associated factor 7
ILMN_1359148	0.00000381	0.000000942	-7.573932	4.984805	-0.37168989	Ogg1	8-oxoguanine DNA glycosylase
ILMN_1358786	0.00000382	0.000000944	-7.572555	4.982351	-0.40804715	Xpc	XPC complex subunit, DNA damage recognition and repair factor
ILMN_1365278	0.00000382	0.000000944	-7.572315	4.981923	-0.50633779	Sdccag8	serologically defined colon cancer antigen 8
ILMN_1370717	0.00000383	0.000000947	7.57036	4.978437	0.37669477	Osm	oncostatin M
ILMN_1371027	0.00000385	0.000000953	-7.567213	4.972825	-0.49420863	Tmem39a	transmembrane protein 39a
ILMN_1650170	0.00000387	0.000000957	-7.564317	4.967659	-0.95249434	Crls1	cardiolipin synthase 1
ILMN_2040818	0.00000387	0.000000957	7.564297	4.967624	0.74018524		
ILMN_1373590	0.00000388	0.000000959	-7.563053	4.965405	-0.5370315		
ILMN_1369228	0.00000388	0.000000959	-7.563004	4.965317	-1.64798465	Coq7	coenzyme Q7, hydroxylase
ILMN_1650289	0.0000039	0.000000964	7.560301	4.960494	0.49072428	Krt31	keratin 31
ILMN_1363098	0.00000391	0.000000966	-7.558779	4.957779	-0.44097543	Zfp787	zinc finger protein 787
ILMN_1371773	0.00000391	0.000000967	-7.558585	4.957432	-1.17017789	Cd248	CD248 molecule
ILMN_1350019	0.00000391	0.000000968	7.557715	4.95588	0.79349729		
ILMN_1649905	0.00000392	0.00000097	7.556737	4.954134	1.02334799		
ILMN_1368625	0.00000392	0.000000971	-7.55608	4.952962	-0.45498545	Rita1	RBPJ interacting and tubulin associated 1
ILMN_1375508	0.00000393	0.000000972	-7.555385	4.951721	-0.54837229	Stxbp5	syntaxin binding protein 5
ILMN_1348807	0.00000393	0.000000972	-7.555176	4.951348	-0.54328146	Inip	INTS3 and NABP interacting protein
ILMN_1360586	0.00000395	0.000000978	-7.551532	4.944842	-0.55832608	Adgrl1	adhesion G protein-coupled receptor L1
ILMN_1365707	0.00000395	0.000000979	7.551138	4.944139	2.00824617		
ILMN_1650040	0.00000395	0.000000979	7.551106	4.944081	0.70293051	Rbmx2	RNA binding motif protein, X-linked 2
ILMN_1359712	0.00000396	0.000000981	7.549818	4.941781	0.5024306	Casc4	cancer susceptibility candidate 4
ILMN_1650022	0.00000398	0.000000986	7.547277	4.937244	0.27661858		
ILMN_1649756	0.00000399	0.00000099	-7.544697	4.932634	-0.48026046	Samd12	sterile alpha motif domain containing 12
ILMN_1530456	0.00000401	0.000000994	7.542139	4.928064	1.58456738		
ILMN_1354467	0.00000401	0.000000995	-7.541933	4.927696	-0.9504468	Hey2	hes-related family bHLH transcription factor with YRPW motif 2
ILMN_1370925	0.00000401	0.000000995	-7.5419	4.927637	-0.42166213	Flywch1	FLYWCH-type zinc finger 1
ILMN_1649860	0.00000401	0.000000996	-7.541357	4.926666	-0.58314525	Thg1l	tRNA-histidine guanylyltransferase 1-like
ILMN_1361015	0.00000403	0.000001	-7.538413	4.921406	-1.57409105		
ILMN_1351185	0.00000403	0.000001	7.538056	4.920769	0.29346145	Lca5	LCA5, lebercilin
ILMN_1366761	0.00000404	0.000001	-7.537176	4.919194	-0.42217376		
ILMN_1376444	0.00000404	0.000001	-7.536398	4.917805	-0.35425833	Trim13	tripartite motif-containing 13
ILMN_1650553	0.00000405	0.00000101	7.535797	4.91673	0.41300448	Zfyve28	zinc finger FYVE-type containing 28
ILMN_1369888	0.00000405	0.00000101	7.535262	4.915773	0.26605447	Pth2	parathyroid hormone 2
ILMN_1373470	0.00000406	0.00000101	7.534272	4.914003	0.5113342		
ILMN_1354017	0.00000408	0.00000101	-7.530834	4.907856	-0.64345505	Folr2	folate receptor beta
ILMN_1373349	0.00000408	0.00000102	-7.530137	4.90661	-1.49938181		
ILMN_1353315	0.00000409	0.00000102	7.52989	4.906167	0.51719279		
ILMN_1650914	0.00000409	0.00000102	7.528666	4.903979	0.66280693		
ILMN_1355940	0.0000041	0.00000102	-7.527438	4.901781	-0.49516904	Fip1l1	factor interacting with PAPOLA and CPSF1
ILMN_1650430	0.00000411	0.00000102	7.525751	4.898764	1.05732893		
ILMN_1354268	0.00000412	0.00000102	-7.525289	4.897938	-1.31408536		
ILMN_1351218	0.00000412	0.00000102	-7.525205	4.897787	-1.11502853		
ILMN_1372038	0.00000413	0.00000103	-7.523466	4.894677	-0.50687503	Flt1	FMS-related tyrosine kinase 1
ILMN_1371283	0.00000414	0.00000103	-7.521648	4.891423	-0.389951	Vps18	VPS18 CORVET/HOPS core subunit
ILMN_1369426	0.00000414	0.00000103	-7.520965	4.890201	-0.604907	Car8	carbonic anhydrase 8
ILMN_1649760	0.00000414	0.00000103	7.520711	4.889746	0.32900853	Cacng4	calcium voltage-gated channel auxiliary subunit gamma 4
ILMN_1359941	0.00000415	0.00000103	-7.520502	4.889372	-0.89669524	Cdc27	cell division cycle 27
ILMN_1368531	0.00000415	0.00000103	7.519834	4.888176	1.64895477		
ILMN_1361194	0.00000416	0.00000104	-7.51838	4.885575	-0.78372037	Rab30	RAB30, member RAS oncogene family
ILMN_1351612	0.00000416	0.00000104	7.518061	4.885003	0.34693262		
ILMN_1365387	0.00000419	0.00000104	7.514225	4.878136	0.32604248	Borcs5	BLOC-1 related complex subunit 5
ILMN_1354222	0.0000042	0.00000105	-7.512934	4.875825	-0.35716788	Olr754	olfactory receptor 754
ILMN_1363410	0.00000422	0.00000105	-7.509174	4.86909	-1.51017656	Acox1	acyl-CoA oxidase 1
ILMN_1365229	0.00000423	0.00000105	-7.507783	4.866598	-0.97182312	Siva1	SIVA1, apoptosis-inducing factor
ILMN_1353737	0.00000424	0.00000106	7.505858	4.86315	0.65627062	Coro1c	coronin 1C
ILMN_1372898	0.00000431	0.00000108	7.496456	4.8463	1.70240783		
ILMN_1650785	0.00000433	0.00000108	-7.494739	4.843221	-1.78709627	Gnao1	G protein subunit alpha o1
ILMN_1530212	0.00000437	0.00000109	7.489301	4.833468	0.49628093	Leprotl1	leptin receptor overlapping transcript-like 1
ILMN_1355442	0.00000437	0.00000109	7.489141	4.833182	0.38301769		
ILMN_1353338	0.00000438	0.00000109	-7.486402	4.828268	-0.4739899	Snx27	sorting nexin family member 27
ILMN_1357585	0.00000438	0.00000109	-7.486401	4.828266	-0.52709333	Rasd2	RASD family, member 2
ILMN_1363743	0.00000439	0.0000011	7.485077	4.825891	2.24948439		
ILMN_2040337	0.0000044	0.0000011	7.48425	4.824406	0.72598495	Snrpd1	small nuclear ribonucleoprotein D1
ILMN_1370795	0.0000044	0.0000011	-7.484085	4.824111	-1.29238331	Ifitm1	interferon induced transmembrane protein 1
ILMN_1352483	0.00000441	0.0000011	-7.483114	4.822367	-0.33928591	Ccdc97	coiled-coil domain containing 97
ILMN_1530327	0.00000441	0.0000011	7.482905	4.821992	1.4244959		
ILMN_1650026	0.00000442	0.0000011	7.481768	4.819952	0.39036504	Pcdha10	protocadherin alpha 10
ILMN_1352801	0.00000443	0.00000111	-7.47933	4.815577	-1.25126784	Mllt1	MLLT1, super elongation complex subunit
ILMN_1369584	0.00000444	0.00000111	7.478235	4.81361	0.27706018	Olr594	olfactory receptor 594
ILMN_1359777	0.00000448	0.00000112	7.473137	4.804456	0.31621842		
ILMN_1358840	0.00000448	0.00000112	-7.473095	4.80438	-0.50420004		
ILMN_1349215	0.00000448	0.00000112	-7.472407	4.803144	-0.27406802	Crabp1	cellular retinoic acid binding protein 1
ILMN_1353447	0.00000449	0.00000112	7.471852	4.802149	0.36729184	Olr130	olfactory receptor 130
ILMN_1349358	0.00000449	0.00000112	7.471752	4.801969	0.72333326		
ILMN_1369181	0.00000449	0.00000112	-7.471103	4.800803	-0.70613998	Ppdpf	pancreatic progenitor cell differentiation and proliferation factor
ILMN_1376657	0.00000452	0.00000113	-7.466874	4.793205	-0.27894062	Calr3	calreticulin 3
ILMN_1350589	0.00000452	0.00000113	7.466677	4.792851	0.41258094	Hcn3	hyperpolarization-activated cyclic nucleotide-gated potassium channel 3
ILMN_1650878	0.00000453	0.00000113	7.466182	4.791963	0.36139356	Ervfrd-1	endogenous retrovirus group FRD member 1
ILMN_1651169	0.00000453	0.00000113	7.465569	4.790861	0.4378533		
ILMN_1353479	0.00000453	0.00000113	-7.46551	4.790756	-0.3194728	Ttc30a1	tetratricopeptide repeat domain 30A1
ILMN_1355044	0.00000454	0.00000114	7.463856	4.787782	1.19024791		
ILMN_1355586	0.00000456	0.00000114	-7.461704	4.783916	-0.60460008	Lig1	DNA ligase 1
ILMN_1372773	0.0000046	0.00000115	-7.455776	4.773258	-0.74464562		
ILMN_1374618	0.00000461	0.00000116	-7.454704	4.771329	-0.75600189	Crb3	crumbs 3, cell polarity complex component
ILMN_1376570	0.00000463	0.00000116	-7.452322	4.767045	-0.50962426	Spata6	spermatogenesis associated 6
ILMN_1651148	0.00000463	0.00000116	-7.452138	4.766713	-1.28703879	Polr2i	RNA polymerase II subunit I
ILMN_1373256	0.00000464	0.00000116	-7.450972	4.764616	-0.73179047	Notch4	notch 4
ILMN_2039493	0.00000465	0.00000117	7.450058	4.762973	0.43830151		
ILMN_1373335	0.00000466	0.00000117	-7.448215	4.759657	-1.09218019	Bmpr1a	bone morphogenetic protein receptor type 1A
ILMN_1362320	0.00000471	0.00000118	7.442091	4.748636	0.45234207	Casp14	caspase 14
ILMN_2040354	0.00000476	0.0000012	7.435525	4.736814	0.48428926		
ILMN_1374322	0.00000477	0.0000012	-7.434266	4.734546	-2.23200847		
ILMN_1371897	0.00000478	0.0000012	7.433319	4.73284	1.55707339		
ILMN_1352367	0.00000478	0.0000012	-7.433027	4.732315	-0.43524851		
ILMN_1350731	0.00000484	0.00000121	-7.426096	4.719827	-1.0847201	Cct4	chaperonin containing TCP1 subunit 4
ILMN_1355271	0.00000484	0.00000121	-7.426068	4.719776	-1.31172413	Fbxo22	F-box protein 22
ILMN_1371467	0.00000485	0.00000122	7.424957	4.717774	0.27608757		
ILMN_1349053	0.00000486	0.00000122	-7.422784	4.713858	-0.42039378		
ILMN_1530199	0.00000491	0.00000123	7.417304	4.703977	2.80748534		
ILMN_1649935	0.00000492	0.00000124	7.416105	4.701814	0.44085987		
ILMN_1349735	0.00000493	0.00000124	7.414816	4.69949	1.50453455		
ILMN_1353121	0.00000493	0.00000124	7.414271	4.698507	1.9534357	Prpf18	pre-mRNA processing factor 18
ILMN_1369132	0.00000493	0.00000124	-7.413975	4.697974	-0.58434448	Praf2	PRA1 domain family, member 2
ILMN_1650895	0.00000495	0.00000124	7.412009	4.694426	0.5011684	Olr367	olfactory receptor 367
ILMN_1363692	0.00000497	0.00000125	-7.41004	4.690874	-1.05541878	Tmeff2	transmembrane protein with EGF-like and two follistatin-like domains 2
ILMN_1364959	0.00000499	0.00000126	7.406662	4.684778	0.31538595		
ILMN_1372000	0.00000501	0.00000126	-7.405096	4.681951	-1.74921049	Tra2b	transformer 2 beta homolog (Drosophila)
ILMN_1368580	0.00000501	0.00000126	-7.404024	4.680017	-0.78616866	Prkcq	protein kinase C, theta
ILMN_1349254	0.00000501	0.00000126	-7.403839	4.679684	-0.74080197	Cntf	ciliary neurotrophic factor
ILMN_1353685	0.00000501	0.00000126	7.40379	4.679595	0.42917279	Tex26	testis expressed 26
ILMN_1369677	0.00000502	0.00000126	-7.403428	4.678941	-1.06484133	Smim8	small integral membrane protein 8
ILMN_1373250	0.00000503	0.00000127	-7.402272	4.676854	-0.33037787	Elk3	ELK3, ETS-domain protein
ILMN_1361517	0.00000504	0.00000127	7.400208	4.673127	0.41217453	Arl6	ADP-ribosylation factor like GTPase 6
ILMN_1354126	0.00000506	0.00000128	7.397821	4.668817	0.4025297		
ILMN_1364421	0.00000508	0.00000128	-7.396018	4.665561	-0.46975652	Slc25a52	solute carrier family 25, member 52
ILMN_1376282	0.00000509	0.00000128	-7.394891	4.663526	-0.41609737	Mad2l2	MAD2 mitotic arrest deficient-like 2 (yeast)
ILMN_1350620	0.00000509	0.00000128	-7.394071	4.662045	-1.76083068	Gp1bb	glycoprotein Ib platelet beta subunit
ILMN_1530173	0.00000511	0.00000129	7.392512	4.659227	0.86663912		
ILMN_1370233	0.00000512	0.00000129	7.391411	4.65724	0.63848353		
ILMN_1350096	0.00000512	0.00000129	7.390554	4.655691	0.41377166	Erich2	glutamate-rich 2
ILMN_1364830	0.00000512	0.00000129	-7.390337	4.655299	-0.30410573	Arhgef28	Rho guanine nucleotide exchange factor 28
ILMN_1348973	0.00000512	0.00000129	7.390142	4.654946	0.50642191	Pde8b	phosphodiesterase 8B
ILMN_1351925	0.00000515	0.0000013	-7.386918	4.649119	-0.38993442		
ILMN_1358859	0.00000517	0.0000013	-7.385226	4.646061	-0.84949756	Zmpste24	zinc metallopeptidase STE24
ILMN_1649810	0.00000517	0.00000131	7.384744	4.64519	0.50603726	Olr1093	olfactory receptor 1093
ILMN_1353828	0.00000521	0.00000132	-7.380015	4.636639	-0.70835454	Ppwd1	peptidylprolyl isomerase domain and WD repeat containing 1
ILMN_1376312	0.00000522	0.00000132	-7.378705	4.634272	-0.578539	March7	membrane associated ring-CH-type finger 7
ILMN_1358266	0.00000525	0.00000132	-7.376094	4.629548	-0.68169141	Pgp	phosphoglycolate phosphatase
ILMN_1348834	0.00000526	0.00000133	-7.374059	4.625868	-0.78149112	Tnfsf13	tumor necrosis factor superfamily member 13
ILMN_1649976	0.00000532	0.00000134	7.368229	4.615318	0.53746082	Map3k13	mitogen-activated protein kinase kinase kinase 13
ILMN_2040668	0.00000533	0.00000135	7.366406	4.612018	0.56032967	Irx1	iroquois homeobox 1
ILMN_1351421	0.00000534	0.00000135	7.36521	4.609853	0.27703297	Fank1	fibronectin type 3 and ankyrin repeat domains 1
ILMN_1361062	0.00000535	0.00000135	-7.364312	4.608228	-0.36890055	Tmem39b	transmembrane protein 39b
ILMN_1360155	0.00000535	0.00000135	-7.364177	4.607983	-2.06223838	Lix1l	Lix1-like
ILMN_1372538	0.00000536	0.00000136	-7.362913	4.605695	-0.6087336		
ILMN_1364114	0.00000537	0.00000136	-7.362318	4.604619	-0.35759664	Pes1	pescadillo ribosomal biogenesis factor 1
ILMN_1357840	0.00000538	0.00000136	-7.36026	4.600891	-1.2927537	Hat1	histone acetyltransferase 1
ILMN_1370138	0.00000538	0.00000136	-7.360137	4.600669	-1.51158158	Hnrnph1	heterogeneous nuclear ribonucleoprotein H1
ILMN_1376489	0.00000539	0.00000136	-7.359018	4.598642	-1.03753728	B4galt4	beta-1,4-galactosyltransferase 4
ILMN_1357571	0.00000541	0.00000137	-7.35728	4.595494	-0.27678405	Zbtb5	zinc finger and BTB domain containing 5
ILMN_1375844	0.00000542	0.00000137	-7.35551	4.592288	-0.8757639		
ILMN_1370459	0.00000544	0.00000138	-7.353325	4.588329	-0.97819026	Pfn2	profilin 2
ILMN_1368771	0.00000545	0.00000138	-7.352211	4.586311	-0.34014353		
ILMN_1353915	0.00000547	0.00000138	-7.350805	4.583763	-0.37441522	Rhobtb2	Rho-related BTB domain containing 2
ILMN_1349046	0.00000549	0.00000139	7.348633	4.579827	0.33550249		
ILMN_1350927	0.00000549	0.00000139	-7.348062	4.578792	-0.8578401	Zufsp	zinc finger with UFM1-specific peptidase domain
ILMN_1368133	0.00000552	0.0000014	-7.345048	4.573329	-1.3484563	Slc28a2	solute carrier family 28 member 2
ILMN_1348804	0.00000552	0.0000014	7.34453	4.572388	0.55143273	Senp3	Sumo1/sentrin/SMT3 specific peptidase 3
ILMN_1364779	0.00000552	0.0000014	-7.344321	4.572009	-0.96269488	Zc3h7a	zinc finger CCCH type containing 7 A
ILMN_1356345	0.00000558	0.00000141	7.338442	4.56135	1.59930364		
ILMN_1356932	0.00000559	0.00000142	-7.337042	4.558809	-0.52218405	Arhgef25	Rho guanine nucleotide exchange factor 25
ILMN_1361564	0.00000559	0.00000142	7.336637	4.558074	2.35416559		
ILMN_1369574	0.00000559	0.00000142	7.336542	4.557902	0.38401886		
ILMN_1361653	0.0000056	0.00000142	-7.336164	4.557216	-0.51241407		
ILMN_1369989	0.0000056	0.00000142	-7.336097	4.557095	-1.30814892	Apool	apolipoprotein O-like
ILMN_1351873	0.0000056	0.00000142	-7.335513	4.556036	-1.29911722	Fnta	farnesyltransferase, CAAX box, alpha
ILMN_1350721	0.0000056	0.00000142	7.33527	4.555594	1.06463939	Myl2	myosin light chain 2
ILMN_1356036	0.00000562	0.00000143	-7.333258	4.551944	-1.16954352	Rps6kb1	ribosomal protein S6 kinase B1
ILMN_1369543	0.00000563	0.00000143	-7.332409	4.550403	-1.51164576	Son	Son DNA binding protein
ILMN_1363587	0.00000564	0.00000143	-7.330812	4.547505	-0.88116365	Slc25a19	solute carrier family 25 member 19
ILMN_1364804	0.00000569	0.00000144	-7.326378	4.539457	-0.48324461	Adnp2	ADNP homeobox 2
ILMN_1361779	0.00000572	0.00000145	-7.323049	4.533412	-0.92574638	Tcea3	transcription elongation factor A3
ILMN_1368659	0.00000572	0.00000145	-7.322835	4.533025	-0.36598882	Fig4	FIG4 phosphoinositide 5-phosphatase
ILMN_1369903	0.00000574	0.00000146	7.320343	4.528498	0.51169646		
ILMN_2039076	0.00000577	0.00000147	7.317332	4.52303	0.33381328	Olr1437	olfactory receptor 1437
ILMN_1364932	0.00000579	0.00000147	-7.315629	4.519935	-0.32765987	Gsdmd	gasdermin D
ILMN_1376428	0.00000579	0.00000147	-7.315038	4.518863	-0.56454907	Sema4a	semaphorin 4A
ILMN_1374760	0.0000058	0.00000148	7.314152	4.517252	0.44633571		
ILMN_2040179	0.00000581	0.00000148	7.313635	4.516313	0.47648589	Fsd1	fibronectin type III and SPRY domain containing 1
ILMN_2040553	0.00000581	0.00000148	7.313427	4.515934	0.45026399	Casr	calcium-sensing receptor
ILMN_1364055	0.00000581	0.00000148	-7.313023	4.5152	-1.61584194	C1r	complement C1r subcomponent
ILMN_1650972	0.00000583	0.00000148	7.311564	4.512549	0.56915997		
ILMN_1650454	0.00000583	0.00000148	7.310875	4.511297	0.44120229	Vsig4	V-set and immunoglobulin domain containing 4
ILMN_1651021	0.00000586	0.00000149	7.308222	4.506474	0.44345741	Prr5l	proline rich 5 like
ILMN_1356368	0.00000592	0.00000151	-7.302312	4.495729	-0.3566945		
ILMN_1360592	0.00000592	0.00000151	-7.301807	4.49481	-0.3225829	Pex11g	peroxisomal biogenesis factor 11 gamma
ILMN_1368007	0.00000592	0.00000151	-7.30171	4.494633	-0.31825716	Tcf20	transcription factor 20
ILMN_1370569	0.00000593	0.00000151	-7.300888	4.493139	-0.60880799		
ILMN_1376923	0.00000593	0.00000151	-7.300751	4.492889	-0.35504195	RT1-CE5	RT1 class I, locus CE5
ILMN_1356107	0.00000594	0.00000151	-7.299862	4.491272	-0.42206806	Atxn2l	ataxin 2-like
ILMN_1649783	0.00000594	0.00000151	-7.299789	4.49114	-1.3487234		
ILMN_1370237	0.00000594	0.00000152	-7.299196	4.490061	-0.27971763	Nploc4	NPL4 homolog, ubiquitin recognition factor
ILMN_1650921	0.00000595	0.00000152	-7.298112	4.488088	-0.52565797	Ttc5	tetratricopeptide repeat domain 5
ILMN_1354262	0.00000595	0.00000152	-7.297906	4.487715	-0.43380199		
ILMN_1369580	0.00000596	0.00000152	7.297265	4.486549	0.26370047	Plagl2	PLAG1 like zinc finger 2
ILMN_1371349	0.00000599	0.00000153	-7.293805	4.480253	-0.37342464	Pibf1	progesterone immunomodulatory binding factor 1
ILMN_1362014	0.00000602	0.00000154	-7.291426	4.475922	-1.69565554	Bcas2	breast carcinoma amplified sequence 2
ILMN_1361611	0.00000604	0.00000154	7.288886	4.471299	0.32983301	Cst8	cystatin 8
ILMN_1650028	0.00000606	0.00000155	-7.287532	4.468835	-0.44579634	Rfc1	replication factor C subunit 1
ILMN_1349703	0.00000607	0.00000155	-7.286615	4.467164	-1.05789184		
ILMN_1374940	0.00000607	0.00000155	-7.286251	4.466503	-0.57713789	Ccdc61	coiled-coil domain containing 61
ILMN_1530333	0.00000609	0.00000156	7.28393	4.462276	0.94404577		
ILMN_1368505	0.00000613	0.00000157	-7.280413	4.455871	-0.24363856	Zbtb46	zinc finger and BTB domain containing 46
ILMN_1371064	0.00000614	0.00000157	-7.279471	4.454154	-1.58348033	Rps18	ribosomal protein S18
ILMN_1376911	0.00000614	0.00000157	-7.279358	4.453949	-0.27954034	Pex6	peroxisomal biogenesis factor 6
ILMN_1356042	0.00000615	0.00000157	-7.278604	4.452576	-0.82090097		
ILMN_1351154	0.00000615	0.00000157	7.278438	4.452272	0.54525764		
ILMN_1361280	0.00000625	0.0000016	-7.269021	4.43511	-0.63868176	Pias3	protein inhibitor of activated STAT, 3
ILMN_1372562	0.00000625	0.0000016	7.268255	4.433715	0.6363653		
ILMN_1364668	0.00000634	0.00000162	7.260349	4.419297	0.38672746		
ILMN_1376625	0.00000638	0.00000163	-7.256929	4.413057	-1.86038441	Hsp90b1	heat shock protein 90 beta family member 1
ILMN_1366722	0.00000641	0.00000164	7.254076	4.40785	0.42318617	Kifc2	kinesin family member C2
ILMN_1650421	0.00000641	0.00000164	7.253462	4.406729	0.51650392	Olr668	olfactory receptor 668
ILMN_1358372	0.00000644	0.00000165	-7.251154	4.402517	-1.05422104	Myh10	myosin, heavy chain 10, non-muscle
ILMN_1372345	0.00000644	0.00000165	-7.251102	4.402422	-0.52833084		
ILMN_1368158	0.00000644	0.00000165	-7.251065	4.402355	-0.95943802		
ILMN_1358246	0.00000647	0.00000166	7.248284	4.397278	0.50237238	Mmp13	matrix metallopeptidase 13
ILMN_1368262	0.0000065	0.00000166	-7.245777	4.392699	-1.5723292	Fahd1	fumarylacetoacetate hydrolase domain containing 1
ILMN_1363985	0.00000655	0.00000168	-7.240809	4.383626	-1.08190356	Ddx39b	DEAD-box helicase 39B
ILMN_1357379	0.00000658	0.00000169	7.238388	4.379202	0.90206955	Hltf	helicase-like transcription factor
ILMN_1357983	0.00000659	0.00000169	7.237204	4.377039	0.40966907	Catsperg1	catsper channel auxiliary subunit gamma 1
ILMN_1348896	0.0000066	0.00000169	-7.236311	4.375408	-0.34130682	Tcf7l2	transcription factor 7 like 2
ILMN_1356222	0.00000662	0.0000017	7.23458	4.372243	1.90280638		
ILMN_1367309	0.00000665	0.0000017	-7.231954	4.367445	-0.33367358		
ILMN_1649743	0.00000667	0.00000171	7.230439	4.364673	0.58864294		
ILMN_1352000	0.00000667	0.00000171	-7.229893	4.363676	-0.59753369	Ifih1	interferon induced with helicase C domain 1
ILMN_1650020	0.00000668	0.00000171	7.229121	4.362265	0.39168242		
ILMN_1354174	0.00000669	0.00000172	-7.227833	4.359909	-0.27485903		
ILMN_1370298	0.0000067	0.00000172	-7.22718	4.358716	-0.61127652	Abhd18	abhydrolase domain containing 18
ILMN_1366495	0.00000675	0.00000173	-7.2224	4.349973	-0.90069845	Psmb7	proteasome subunit beta 7
ILMN_1373451	0.00000677	0.00000174	-7.221008	4.347426	-0.36134143		
ILMN_2040930	0.00000677	0.00000174	7.221004	4.347419	0.3395806		
ILMN_1376571	0.0000068	0.00000175	-7.2181	4.342106	-0.71051465	Sfxn1	sideroflexin 1
ILMN_1358433	0.00000681	0.00000175	-7.217759	4.341482	-0.28003397	Ccdc94	coiled-coil domain containing 94
ILMN_1376638	0.00000686	0.00000176	-7.212786	4.33238	-1.35642536	Atp6v0d1	ATPase H+ transporting V0 subunit D1
ILMN_1364936	0.00000689	0.00000177	-7.210707	4.328573	-1.11331451	Syap1	synapse associated protein 1
ILMN_1353804	0.00000694	0.00000178	7.206402	4.320691	0.80695297	Upf2	UPF2 regulator of nonsense transcripts homolog (yeast)
ILMN_1352129	0.00000694	0.00000178	-7.206076	4.320093	-0.45590869		
ILMN_1352533	0.00000696	0.00000179	-7.204504	4.317214	-0.74227057	Cdk13	cyclin-dependent kinase 13
ILMN_1359731	0.00000697	0.00000179	-7.203214	4.314852	-0.71850037	Vps52	VPS52 GARP complex subunit
ILMN_1353462	0.00000698	0.00000179	7.20282	4.314129	0.44081557	Grap2	GRB2-related adaptor protein 2
ILMN_1361897	0.00000699	0.0000018	7.201771	4.312209	0.30872139	Nlrp4a	NLR family, pyrin domain containing 4A
ILMN_1361091	0.000007	0.0000018	-7.200837	4.310497	-1.33714359	Dennd6a	DENN domain containing 6A
ILMN_1363236	0.00000701	0.0000018	-7.199788	4.308575	-1.30458359	Ufc1	ubiquitin-fold modifier conjugating enzyme 1
ILMN_1353378	0.00000702	0.00000181	-7.199439	4.307935	-0.53602987		
ILMN_1374151	0.00000702	0.00000181	7.199145	4.307396	1.35679625		
ILMN_1369085	0.00000702	0.00000181	-7.198974	4.307084	-0.6912453	Celf1	CUGBP, Elav-like family member 1
ILMN_1366676	0.00000703	0.00000181	-7.197642	4.304643	-0.41182062	Tprn	taperin
ILMN_1371993	0.00000703	0.00000181	-7.197589	4.304546	-0.34439578	Cyp2d4	cytochrome P450, family 2, subfamily d, polypeptide 4
ILMN_1650249	0.00000704	0.00000181	7.197323	4.304058	0.48981192	Rasl12	RAS-like, family 12
ILMN_1367588	0.00000706	0.00000182	7.195287	4.300327	0.55158712		
ILMN_1369055	0.00000707	0.00000182	-7.19415	4.298242	-0.34799415	Disp1	dispatched RND transporter family member 1
ILMN_1357848	0.00000715	0.00000184	7.18821	4.287351	0.48350816	Slc35d1	solute carrier family 35 member D1
ILMN_1649814	0.00000716	0.00000185	-7.186899	4.284948	-0.37963093		
ILMN_1349277	0.00000716	0.00000185	7.186535	4.284281	0.42109585		
ILMN_1362332	0.00000716	0.00000185	7.186411	4.284052	0.6204249		
ILMN_1364441	0.00000719	0.00000185	-7.184558	4.280654	-0.67134708	Gja3	gap junction protein, alpha 3
ILMN_2040802	0.00000719	0.00000185	7.184118	4.279846	0.46283906	Sec63	SEC63 homolog, protein translocation regulator
